Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd
Taiwan,TWN,23816775,36193,672.6,,
Andorra,AND,77265,470,164.394,67873,40886
Bulgaria,BGR,7000039,111000,63.9,5256027,9440
Benin,BEN,12123198,114760,107.513,5648149,1219
Bahamas,BHS,393248,13880,39.286,323784,32933
Ivory Coast,CIV,26378275,322460,82.951,13176900,2286
Curaçao,CUW,164100,444,369.595,140363,19573
Guinea-Bissau,GNB,1967998,36130,69.986,840922,697
Ireland,IRL,4904240,70280,70.9,3133123,78706
Italy,ITA,60359546,301340,202.9,42651966,34456
Jordan,JOR,10203140,89320,114.926,9213048,4330
Kenya,KEN,53771300,580370,94.478,14461523,1816
Kazakhstan,KAZ,18776707,2724901,6.955,10652915,9731
Saint Lucia,LCA,183629,620,301.031,34280,11611
Liechtenstein,LIE,38378,160,242.1,5464,173356
Libya,LBY,6871287,1759540,3.905,5448597,7683
Macau,MAC,649342,30,21717.124,640445,84096
Netherlands,NLD,17282163,41540,504.0,15924729,52982
Réunion,REU,895308,2512,358.123,,
Russia,RUS,145934460,17098250,8.911,107683889,11584
San Marino,SMR,33938,60,565.633,32969,48481
Togo,TGO,8278736,56790,152.211,3414638,675
Finland,FIN,5517919,338450,18.1,4716888,50150
Mexico,MEX,110991953,1964375,66.325,102626859,9863
Azerbaijan,AZE,10139175,86600,122.664,5616165,4793
Egypt,EGY,102334403,1001450,102.802,42895824,3020
Faroe Islands,FRO,48865,1396,35.004,20554,58622
Greenland,GRL,56772,410450,0.138,48945,54470
Comoros,COM,869595,1861,467.273,248152,1393
Latvia,LVA,1919968,64490,30.4,1304943,17818
Poland,POL,37972812,312680,123.6,22796574,15222
Palestine,PSE,5101416,6020,847.411,3581448,3198
Rwanda,RWA,12952209,26340,525.019,2186104,801
Saudi Arabia,SAU,34813867,2149690,16.195,28807838,23139
Solomon Islands,SLB,686878,28900,24.54,162164,2127
Seychelles,SYC,98340,460,213.783,55762,17401
Sweden,SWE,10230185,447430,25.0,9021165,54634
Tunisia,TUN,11818618,163610,76.072,8099061,3317
Tuvalu,TUV,11792,30,393.067,7362,4059
Uganda,UGA,45741000,241550,228.922,10784516,776
Wallis and Futuna,WLF,11246,274,80.329,,
Kosovo,RKS,1883018,10909,,,
Estonia,EST,1324820,45340,30.4,916024,23246
New Zealand,NZL,4822233,267710,18.314,4258860,42084
Albania,ALB,2862427,28750,99.6,1747593,5352
Antarctica,ATA,4400,14200000,,,
American Samoa,ASM,55197,200,275.985,48203,11466
Democratic Republic of the Congo,COD,89561404,2344860,39.506,39095679,545
Central African Republic,CAF,4829764,622980,7.753,1982064,467
Republic of the Congo,COG,5518092,342000,16.158,3625010,2011
Djibouti,DJI,988002,23200,42.623,758549,3408
Dominica,DMA,71991,750,95.988,50830,8300
Western Sahara,ESH,597330,266000,2.246,,
Gabon,GAB,2225728,267670,8.638,1949694,7667
Guernsey,GGY,63276,63,,,
Gambia,GMB,2416664,11300,238.801,1453958,751
Guinea,GIN,13132792,245860,53.446,4661505,1064
Guyana,GUY,786559,214970,3.996,208912,5468
Hungary,HUN,9772756,93030,107.1,6999582,16166
Isle of Man,IMN,85032,570,149.179,44605,80989
Iraq,IRQ,40222503,435051,92.61,27783368,5955
Kiribati,KIR,119446,810,147.464,64489,1655
South Korea,KOR,51269183,100339,527.298,42106719,31761
Monaco,MCO,39244,2,26338.255,38964,185829
Maldives,MDV,540542,300,1801.807,213645,10790
Nicaragua,NIC,6624554,130370,55.049,3846137,1912
Niue,NIU,1618,260,6.223,,
Sierra Leone,SLE,7976985,72300,110.515,3319366,504
Turkmenistan,TKM,6031187,488100,12.834,3092738,6966
Vatican City,VAT,809,0,1838.636,,
Afghanistan,AFG,38928341,652860,59.627,9797273,502
Antigua and Barbuda,ATG,97928,440,222.564,23800,17790
Angola,AGO,32866267,1246700,26.363,21061025,2973
Caribbean Netherlands,BES,26221,322,79.942,,
Belize,BLZ,397621,22970,17.432,179039,4815
Cuba,CUB,11326616,109880,106.413,8739135,8821
Christmas Island,CXR,1843,135,,,
Cyprus,CYP,875899,9250,94.4,800708,28674
Eritrea,ERI,3546427,117600,35.113,,
Fiji,FJI,896444,18270,49.066,505048,6220
Equatorial Guinea,GNQ,1402985,28050,50.017,984812,8131
Heard Island and McDonald Islands,HMD,0,658903,,,
Iran,IRN,83992953,1745150,51.575,62509623,5520
North Korea,PRK,25778815,120540,214.092,15947412,
Sri Lanka,LKA,21413250,65610,341.465,4052088,3853
Madagascar,MDG,27691019,587295,47.596,10210849,522
Marshall Islands,MHL,59194,180,328.856,45514,3788
Montserrat,MSR,4999,102,49.99,,
Mozambique,MOZ,31255435,786380,39.746,11092106,491
Norway,NOR,5328212,625217,17.2,4418218,75419
Qatar,QAT,2881060,11610,248.153,2809071,64781
Singapore,SGP,5850343,719,8357.633,5703569,65233
Saint Helena,SHN,6071,121,15.567,,
Slovenia,SVN,2080908,20675,102.9,1144654,26078
Somalia,SOM,15893219,637660,25.334,7034861,
El Salvador,SLV,6486201,21040,313.041,4694702,4187
Turkey,TUR,82003882,785350,106.2,63097818,9042
Vanuatu,VUT,307150,12190,25.197,76152,3058
France,FRA,67012883,549086,105.6,54123364,41300
Netherlands Antilles,,197041,800,,,
Aruba,ABW,106766,180,593.144,46295,29007
Bangladesh,BGD,164689383,147630,1265.187,60987417,1855
Botswana,BWA,2351625,581730,4.149,1616550,7961
China,CHN,1439323774,9562910,153.312,842933962,10261
Ethiopia,ETH,114963583,1104300,114.964,23788710,857
Gibraltar,GIB,33691,10,3369.1,33701,
Honduras,HND,9904608,112490,88.521,5626433,2574
British Indian Ocean Territory,IOT,4000,,,,
Jamaica,JAM,2961161,10990,273.422,1650594,5582
Cayman Islands,CYM,65720,260,273.833,64948,85477
Lesotho,LSO,2142252,30360,70.562,607508,1157
Lithuania,LTU,2794184,65286,44.7,1891013,19116
Luxembourg,LUX,613894,2590,235.1,565488,116348
Morocco,MAR,36910558,446550,82.703,22975026,3204
Montenegro,MNE,622182,13810,45.7,417765,8832
Puerto Rico,PRI,2860840,8870,322.53,2988531,32873
Turks and Caicos Islands,TCA,38718,950,40.756,35655,27142
Uruguay,URY,3473727,176220,19.848,3303394,16190
Mayotte,MYT,272813,374,727.501,,
