Country_name,3_letter_code,Total_new_vacinations,New_persons_fully_vaccinated
Afghanistan,AFG,10827184,10049876
Albania,ALB,1335654,1261242
Algeria,DZA,7840131,5756374
Andorra,AND,57317,52306
Angola,AGO,14220830,7773926
Anguilla,AIA,10846,9531
Antigua and Barbuda,ATG,64091,59450
Argentina,ARG,52967364,48319990
Armenia,ARM,1129104,974023
Aruba,ABW,74151,73366
Australia,AUS,82763045,43158123
Austria,AUT,13184659,12484626
Azerbaijan,AZE,5373253,4564616
Bahamas,BHS,172588,157755
Bahrain,BHR,1201437,1026356
Bangladesh,BGD,131389148,121405025
Barbados,BRB,158986,137967
Belarus,BLR,6498901,6377017
Belgium,BEL,9541981,9430727
Belize,BLZ,250319,210152
Benin,BEN,3671646,2729804
Bermuda,BMU,48554,46066
Bhutan,BTN,695693,673559
Bolivia,BOL,12401608,10066060
Bosnia and Herzegovina,BIH,943394,836080
Botswana,BWA,1502742,1350720
Brazil,BRA,362612803,333119482
British Virgin Islands,VGB,8187,14435
Brunei,BRN,449429,444307
Bulgaria,BGR,2099212,2069594
Burkina Faso,BFA,2676883,2412636
Burundi,BDI,18764,18104
Cambodia,KHM,15172499,14513369
Cameroon,CMR,1569870,1225755
Canada,CAN,93796514,90452263
Cape Verde,CPV,356355,305714
Caribbean Netherlands,BES,13383,15071
Cayman Islands,CYM,61663,56948
Central African Republic,CAF,1454656,1368399
Chad,TCD,3733869,3607933
Chile,CHL,18064495,17670326
China,CHN,680773000,493610000
Colombia,COL,41884807,36446572
Comoros,COM,409815,381444
Cook Islands,COK,10670,14656
Costa Rica,CRI,4463581,4191631
Croatia,HRV,2309901,2236074
Cuba,CUB,10631102,9842534
Curaçao,CUW,93067,95624
Cyprus,CYP,665446,643495
Czech Republic,CZE,13947454,12954594
Democratic Republic of the Congo,COD,4386801,2871213
Denmark,DNK,4816889,4781451
Djibouti,DJI,215597,204980
Dominica,DMA,32872,30229
Dominican Republic,DOM,7276353,5985208
East Timor,TLS,847592,743625
Ecuador,ECU,15237316,14088205
Egypt,EGY,52691386,39136903
El Salvador,SLV,4630037,4328276
Equatorial Guinea,GNQ,264344,213232
Estonia,EST,866338,845839
Ethiopia,ETH,42681242,18646528
Falkland Islands,FLK,2632,58
Faroe Islands,FRO,37722,40894
Fiji,FJI,709581,635279
Finland,FIN,4521522,4342288
France,FRA,158477834,156439462
French Polynesia,PYF,186219,184076
Gabon,GAB,310170,257055
Gambia,GMB,452514,347001
Georgia,GEO,1645776,1273286
Germany,DEU,115681002,96180852
Ghana,GHA,11371567,7875717
Gibraltar,GIB,41654,41021
Greece,GRC,7926591,7637081
Greenland,GRL,38659,37299
Grenada,GRD,44019,38800
Guatemala,GTM,8735448,6847919
Guernsey,GGY,47995,50829
Guinea,GIN,5093664,2870932
Guinea-Bissau,GNB,587187,391431
Guyana,GUY,485891,461005
Haiti,HTI,358867,221304
Honduras,HND,6321966,5594514
Hong Kong,HKG,6837449,6635359
Hungary,HUN,6287618,6201866
Iceland,ISL,304895,289713
India,IND,1755475513,1274813983
Indonesia,IDN,203882351,170493187
Iran,IRN,64978822,58253415
Iraq,IRQ,11110310,7646619
Ireland,IRL,4095768,4050631
Isle of Man,IMN,65663,66794
Israel,ISR,18210008,16661311
Italy,ITA,96840043,92082526
Ivory Coast,CIV,10721755,8544355
Jamaica,JAM,830330,722116
Japan,JPN,104181296,102770932
Jersey,JEY,43816,75699
Jordan,JOR,4821579,4528313
Kazakhstan,KAZ,10829480,10578333
Kenya,KEN,13460152,9985484
Kiribati,KIR,82774,55973
Kuwait,KWT,3306742,3297554
Kyrgyzstan,KGZ,1594808,1334181
Laos,LAO,5847917,5192136
Latvia,LVA,1346183,1305975
Lebanon,LBN,2648351,2387386
Lesotho,LSO,924248,872539
Liberia,LBR,3467301,2949554
Libya,LBY,2303655,1176642
Liechtenstein,LIE,26497,26254
Lithuania,LTU,1952481,1877387
Luxembourg,LUX,481657,462508
Macau,MAC,583291,580775
Macedonia,MKD,854256,813921
Madagascar,MDG,1521766,1276129
Malawi,MWI,3036122,2247780
Malaysia,MYS,55760136,55003624
Maldives,MDV,398203,383214
Mali,MLI,2203178,1639384
Malta,MLT,466098,469495
Marshall Islands,MHL,40406,32752
Mauritania,MRT,2005049,1417626
Mauritius,MUS,1021934,969264
Mexico,MEX,96369318,79945512
Moldova,MDA,1079437,1055428
Monaco,MCO,20426,18504
Mongolia,MNG,2269853,2154011
Montenegro,MNE,292783,284537
Montserrat,MSR,2086,1892
Morocco,MAR,22638416,23484273
Mozambique,MOZ,13456303,12792602
Myanmar,MMR,34777314,27505329
Namibia,NAM,586652,514027
Nauru,NRU,10493,6771
Nepal,NPL,26605011,21962932
Netherlands,NLD,12740770,11935165
New Caledonia,NCL,190408,183694
New Zealand,NZL,4297219,4131644
Nicaragua,NIC,6051704,5540369
Niger,NER,3740079,2972814
Nigeria,NGA,43817495,31125902
Niue,NIU,1650,1404
Norway,NOR,4345038,4052256
Oman,OMN,3269526,3044088
Pakistan,PAK,139267049,130489253
Palau,PLW,20165,18346
Palestine,PSE,0,0
Panama,PAN,3497920,3142428
Papua New Guinea,PNG,347753,279952
Paraguay,PRY,3986765,3516871
Peru,PER,29837772,28162516
Philippines,PHL,77253008,72567235
