Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd,Total_confirmed_cases_x,Total_confirmed_cases_y,Total_new_vacinations,New_persons_fully_vaccinated,Investment_in_vaccines,Total_tested
Taiwan,TWN,23816775,36193,672.6,,,10061168,10061168,21634247,20185262,1733514,13021521
Andorra,AND,77265,470,164.394,67873,40886,46147,46147,57317,52306,0,
Bulgaria,BGR,7000039,111000,63.9,5256027,9440,1250250,1250250,2099212,2069594,79094046,3430255
Benin,BEN,12123198,114760,107.513,5648149,1219,27638,27638,3671646,2729804,0,
Bahamas,BHS,393248,13880,39.286,323784,32933,37171,37171,172588,157755,1600000,43736
Ivory Coast,CIV,26378275,322460,82.951,13176900,2286,86973,86973,10721755,8544355,0,1210395
Curaçao,CUW,164100,444,369.595,140363,19573,45345,45345,93067,95624,,22100
Guinea-Bissau,GNB,1967998,36130,69.986,840922,697,8796,8796,587187,391431,,390
Ireland,IRL,4904240,70280,70.9,3133123,78706,1660635,1660635,4095768,4050631,33433914,12340856
Italy,ITA,60359546,301340,202.9,42651966,34456,63645029,63645029,96840043,92082526,5953246,489035726
Jordan,JOR,10203140,89320,114.926,9213048,4330,1742256,1742256,4821579,4528313,0,7567593
Kenya,KEN,53771300,580370,94.478,14461523,1816,399811,399811,13460152,9985484,0,610432
Kazakhstan,KAZ,18776707,2724901,6.955,10652915,9731,1482094,1482094,10829480,10578333,0,11792426
Saint Lucia,LCA,183629,620,301.031,34280,11611,28959,28959,59973,37479,,1562
Liechtenstein,LIE,38378,160,242.1,5464,173356,19356,19356,26497,26254,658643,121484
Libya,LBY,6871287,1759540,3.905,5448597,7683,530589,530589,2303655,1176642,13408000,1980537
Macau,MAC,649342,30,21717.124,640445,84096,783,783,583291,580775,52610000,
Netherlands,NLD,17282163,41540,504.0,15924729,52982,48677313,48677313,12740770,11935165,261627134,30687346
Russia,RUS,145934460,17098250,8.911,107683889,11584,32627601,32627601,84004373,75419372,312789295,156015815
San Marino,SMR,33938,60,565.633,32969,48481,20552,20552,26322,23604,0,
Togo,TGO,8278736,56790,152.211,3414638,675,38678,38678,2159001,1389408,0,708063
Finland,FIN,5517919,338450,18.1,4716888,50150,1430775,1430775,4521522,4342288,5543828,11038890
Mexico,MEX,110991953,1964375,66.325,102626859,9863,12986669,12986669,96369318,79945512,0,15569439
Azerbaijan,AZE,10139175,86600,122.664,5616165,4793,818634,818634,5373253,4564616,0,1716435
Egypt,EGY,102334403,1001450,102.802,42895824,3020,515348,515348,52691386,39136903,0,
Faroe Islands,FRO,48865,1396,35.004,20554,58622,34658,34658,37722,40894,0,7060
Greenland,GRL,56772,410450,0.138,48945,54470,11971,11971,38659,37299,19013,
Latvia,LVA,1919968,64490,30.4,1304943,17818,912002,912002,1346183,1305975,0,7263566
Poland,POL,37972812,312680,123.6,22796574,15222,14895685,14895685,66744509,56294637,518361020,86653925
Palestine,PSE,5101416,6020,847.411,3581448,3198,702768,702768,0,0,0,3050518
Rwanda,RWA,12952209,26340,525.019,2186104,801,132474,132474,10940142,10439068,0,4029152
Saudi Arabia,SAU,34813867,2149690,16.195,28807838,23139,814829,814829,10969797,23816722,510000000,43251385
Solomon Islands,SLB,686878,28900,24.54,162164,2127,21544,21544,304590,197663,0,
Seychelles,SYC,98340,460,213.783,55762,17401,46358,46358,85397,81199,0,
Sweden,SWE,10230185,447430,25.0,9021165,54634,5157043,5157043,15675064,7662946,9900000,18407585
Tunisia,TUN,11818618,163610,76.072,8099061,3317,1145163,1145163,8896848,6378167,0,1001807
Uganda,UGA,45741000,241550,228.922,10784516,776,169001,169001,18386089,12558081,5000000,2120320
Estonia,EST,1324820,45340,30.4,916024,23246,1187216,1187216,866338,845839,0,6803028
New Zealand,NZL,4822233,267710,18.314,4258860,42084,1746283,1746283,4297219,4131644,23870000,4258074
Albania,ALB,2862427,28750,99.6,1747593,5352,330149,330149,1335654,1261242,6900000,1613870
Democratic Republic of the Congo,COD,89561404,2344860,39.506,39095679,545,107130,107130,4386801,2871213,0,
Central African Republic,CAF,4829764,622980,7.753,1982064,467,14903,14903,1454656,1368399,0,
Republic of the Congo,COG,5518092,342000,16.158,3625010,2011,24775,24775,681463,588092,16800000,
Djibouti,DJI,988002,23200,42.623,758549,3408,15690,15690,215597,204980,0,1233
Dominica,DMA,71991,750,95.988,50830,8300,14852,14852,32872,30229,0,4032
Gabon,GAB,2225728,267670,8.638,1949694,7667,48668,48668,310170,257055,0,93986
Gambia,GMB,2416664,11300,238.801,1453958,751,12415,12415,452514,347001,0,
Guinea,GIN,13132792,245860,53.446,4661505,1064,37652,37652,5093664,2870932,0,
Guyana,GUY,786559,214970,3.996,208912,5468,71209,71209,485891,461005,3589867,
Hungary,HUN,9772756,93030,107.1,6999582,16166,2070443,2070443,6287618,6201866,19959700,10943720
Iraq,IRQ,40222503,435051,92.61,27783368,5955,2458509,2458509,11110310,7646619,0,12996351
Kiribati,KIR,119446,810,147.464,64489,1655,3430,3430,82774,55973,0,
South Korea,KOR,51269183,100339,527.298,42106719,31761,24284819,24284819,45070438,44660711,7698257367,100269452
Monaco,MCO,39244,2,26338.255,38964,185829,14471,14471,20426,18504,1224000,
Maldives,MDV,540542,300,1801.807,213645,10790,184966,184966,398203,383214,,2211113
Nicaragua,NIC,6624554,130370,55.049,3846137,1912,14990,14990,6051704,5540369,260000000,
Sierra Leone,SLE,7976985,72300,110.515,3319366,504,13087,13087,2904587,2189001,0,93855
Turkmenistan,TKM,6031187,488100,12.834,3092738,6966,0,0,2937760,2900494,0,
Afghanistan,AFG,38928341,652860,59.627,9797273,502,352280,352280,10827184,10049876,113000000,
Angola,AGO,32866267,1246700,26.363,21061025,2973,103131,103131,14220830,7773926,88000000,28136
Belize,BLZ,397621,22970,17.432,179039,4815,68612,68612,250319,210152,0,2924
Cuba,CUB,11326616,109880,106.413,8739135,8821,1110948,1110948,10631102,9842534,0,5296244
Cyprus,CYP,875899,9250,94.4,800708,28674,579899,579899,665446,643495,0,29495854
Fiji,FJI,896444,18270,49.066,505048,6220,68207,68207,709581,635279,0,402088
Equatorial Guinea,GNQ,1402985,28050,50.017,984812,8131,16894,16894,264344,213232,,17420
Iran,IRN,83992953,1745150,51.575,62509623,5520,7540962,7540962,64978822,58253415,0,18074432
Sri Lanka,LKA,21413250,65610,341.465,4052088,3853,670519,670519,17114619,14638849,152500000,7691045
Madagascar,MDG,27691019,587295,47.596,10210849,522,66652,66652,1521766,1276129,0,125476
Marshall Islands,MHL,59194,180,328.856,45514,3788,15180,15180,40406,32752,,3184
Mozambique,MOZ,31255435,786380,39.746,11092106,491,454886,454886,13456303,12792602,0,944051
Norway,NOR,5328212,625217,17.2,4418218,75419,2898659,2898659,4345038,4052256,694263420,11154564
Qatar,QAT,2881060,11610,248.153,2809071,64781,438499,438499,2685749,2230767,0,7574423
Singapore,SGP,5850343,719,8357.633,5703569,65233,1867168,1867168,5024254,5004692,0,14598500
Slovenia,SVN,2080908,20675,102.9,1144654,26078,1146874,1146874,1465398,1294311,16367576,17987462
Somalia,SOM,15893219,637660,25.334,7034861,,27197,27197,3668114,2657353,0,
El Salvador,SLV,6486201,21040,313.041,4694702,4187,201785,201785,4630037,4328276,0,1921625
Turkey,TUR,82003882,785350,106.2,63097818,9042,16852382,16852382,54854453,52818565,750000000,163164533
Vanuatu,VUT,307150,12190,25.197,76152,3058,11921,11921,143339,130493,0,
France,FRA,67012883,549086,105.6,54123364,41300,90395908,90395908,158477834,156439462,600266651,796564259
Aruba,ABW,106766,180,593.144,46295,29007,42970,42970,74151,73366,0,793
Bangladesh,BGD,164689383,147630,1265.187,60987417,1855,2559498,2559498,131389148,121405025,0,13820904
Botswana,BWA,2351625,581730,4.149,1616550,7961,326107,326107,1502742,1350720,0,19426
China,CHN,1439323774,9562910,153.312,842933962,10261,7758224,7758224,680773000,493610000,2952723947,
Ethiopia,ETH,114963583,1104300,114.964,23788710,857,493367,493367,42681242,18646528,0,3585129
Gibraltar,GIB,33691,10,3369.1,33701,,20069,20069,41654,41021,,514
Honduras,HND,9904608,112490,88.521,5626433,2574,455669,455669,6321966,5594514,0,
Jamaica,JAM,2961161,10990,273.422,1650594,5582,150909,150909,830330,722116,6000000000,552068
Cayman Islands,CYM,65720,260,273.833,64948,85477,30545,30545,61663,56948,,9358
Lesotho,LSO,2142252,30360,70.562,607508,1157,34287,34287,924248,872539,0,553
