Country_name,Total_new_vaccinations
Mexico,607456
United Kingdom,504493
Mexico,680917
Mexico,567427
Mexico,615777
Mexico,695547
United Kingdom,528260
Mexico,547323
Rwanda,558562
Mexico,576864
Uganda,1829437
Mexico,521276
Mexico,886286
Mexico,947499
Mexico,775103
Mexico,1267389
Mexico,629540
Costa Rica,590737
Mexico,558551
Mexico,510146
United Kingdom,544603
Mexico,877085
Mexico,513671
Mexico,508999
Uganda,612620
Mexico,529449
Mexico,989915
Mexico,538768
Mexico,645437
Mexico,737704
Mexico,590247
Mexico,681112
United Kingdom,752308
Mexico,1188659
United Kingdom,512108
Mexico,597512
Mexico,735892
Mexico,907374
Uganda,557254
Mexico,902467
Mexico,3194239
Mexico,716876
Mexico,674116
Rwanda,585658
Uganda,2686932
Mexico,616179
Mexico,1148349
Mexico,1099633
Mexico,536663
Mexico,641705
United Kingdom,505362
Mexico,906816
Mexico,517327
Mexico,538409
United Kingdom,549808
Mexico,913811
Mexico,511032
Mexico,935723
United Kingdom,598389
Mexico,660259
Mexico,709742
Rwanda,545928
United Kingdom,503116
Rwanda,2855281
Mexico,502327
Mexico,688704
United Kingdom,614930
Mexico,566978
Mexico,1368941
Uganda,2055671
Mexico,652456
Mexico,1393705
Mexico,571940
Mexico,518625
Mexico,682441
South Africa,511829
Bangladesh,1092160
France,507528
Bangladesh,544784
South Africa,586841
Bangladesh,609392
Bangladesh,903305
Bangladesh,2923641
Morocco,573938
Bangladesh,855307
Bangladesh,775299
Bangladesh,930700
Bangladesh,1801400
Colombia,728465
Ethiopia,584829
Bangladesh,649018
Bangladesh,2626488
Colombia,7664236
Bangladesh,674253
Bangladesh,970261
Bangladesh,737025
Morocco,608104
Colombia,769205
Bangladesh,6001611
Bangladesh,1774443
Bangladesh,2218442
Bangladesh,977259
Bangladesh,974474
Bangladesh,1061696
Bangladesh,611799
Colombia,529736
Colombia,546773
Colombia,752717
Bangladesh,644579
Bangladesh,1804123
Bangladesh,1433626
Bangladesh,737987
Bangladesh,1138871
Bangladesh,688005
Bangladesh,1103695
Ethiopia,641485
Ethiopia,778610
Bangladesh,3796631
Bangladesh,604648
Bangladesh,1013942
Bangladesh,3334621
Bangladesh,1027011
Bangladesh,712317
Bangladesh,1081317
Bangladesh,998513
Bangladesh,6625123
Bangladesh,19330896
Bangladesh,1214065
Bangladesh,552823
Bangladesh,12420904
Ethiopia,522415
Colombia,541883
Bangladesh,1503125
Bangladesh,2384461
Bangladesh,1469303
Morocco,643649
Bangladesh,1186093
Ethiopia,615942
Bangladesh,903060
Morocco,505967
Bangladesh,1331797
Philippines,2640703
United Arab Emirates,1601438
Philippines,508036
Philippines,5118406
Philippines,836484
Philippines,15592334
Philippines,724667
Philippines,881455
Philippines,12551294
Philippines,7563031
Philippines,791980
Philippines,6498180
United Arab Emirates,2237150
United Arab Emirates,2643847
Philippines,874158
Philippines,637384
Philippines,517637
Philippines,4597528
Indonesia,573155
Indonesia,920409
Indonesia,692896
Indonesia,824107
Indonesia,1070414
Indonesia,550229
Indonesia,1157437
Indonesia,694558
Indonesia,559208
Iran,1473423
Sri Lanka,548226
Indonesia,1256014
Indonesia,676357
Kuwait,1852426
Indonesia,680183
Indonesia,510006
Indonesia,1322923
Indonesia,797646
Indonesia,1152072
Indonesia,713506
Indonesia,884876
Indonesia,502690
Indonesia,812079
Indonesia,985951
Indonesia,713952
Indonesia,905250
Indonesia,1040519
Indonesia,833667
Indonesia,1123031
Indonesia,569619
Indonesia,768061
Mozambique,767938
Indonesia,996796
Indonesia,544193
Indonesia,542523
Indonesia,715527
Indonesia,620802
Indonesia,773534
Indonesia,861356
Indonesia,1083632
Iran,641083
Indonesia,775887
Indonesia,519866
Indonesia,510430
Indonesia,550482
Indonesia,875981
Indonesia,616997
Indonesia,552594
Indonesia,1073461
Indonesia,1155423
Indonesia,4039665
Indonesia,1001759
Indonesia,1328065
Kuwait,630148
Iran,5439854
Iran,554537
Indonesia,1087906
Indonesia,853437
Indonesia,1705044
Indonesia,710381
Indonesia,819816
Indonesia,1155984
Indonesia,1068833
Iran,856723
Indonesia,949796
Iran,3475283
Indonesia,656518
Indonesia,1994826
Indonesia,1039816
Indonesia,1615771
Indonesia,546416
Indonesia,1622885
Indonesia,802927
Indonesia,614409
Indonesia,922722
Indonesia,565236
Iran,4114118
Indonesia,1205284
Indonesia,792057
Indonesia,1099390
Indonesia,517475
Indonesia,1082000
Indonesia,1092662
Mozambique,727346
Indonesia,1064798
Indonesia,563401
Mozambique,638767
Indonesia,873761
Indonesia,778365
Indonesia,914881
Indonesia,946952
Indonesia,786703
Indonesia,810019
Iran,709133
Indonesia,707429
Indonesia,590412
Indonesia,1264001
Myanmar,1184833
Mozambique,513605
Indonesia,686187
Indonesia,867910
Indonesia,1024611
Indonesia,646501
Indonesia,592437
Indonesia,1050201
Indonesia,663785
Indonesia,521033
Indonesia,561459
Indonesia,833258
Indonesia,1008621
Indonesia,990430
Iran,557718
Indonesia,718716
Indonesia,1012763
Indonesia,1291850
Myanmar,1164288
Iran,1143667
Indonesia,760632
Indonesia,681419
Indonesia,689094
Indonesia,816392
Indonesia,905493
Indonesia,544051
Indonesia,972103
Indonesia,820889
Myanmar,2616099
Indonesia,1053235
Indonesia,1043329
Indonesia,942043
Indonesia,617863
Indonesia,570586
Indonesia,555030
Indonesia,1226986
Indonesia,1462704
Indonesia,852699
Indonesia,1134340
