Country_name,total_new_vaccinations
Albania,1216854
Argentina,17660829
Armenia,1129104
Aruba,332
Australia,41514738
Austria,6789434
Azerbaijan,2727062
Bahamas,30407
Bahrain,897827
Bangladesh,127358755
Barbados,313
Belarus,197672
Belgium,8819880
Belize,6639
Bermuda,37
Bhutan,52021
Bolivia,8751634
Bosnia and Herzegovina,711466
Brazil,141361044
Bulgaria,1076192
Burkina Faso,4557
Cambodia,2545857
Canada,60851259
Cape Verde,260779
Chile,17994028
Colombia,41351735
Costa Rica,4437574
Croatia,1558751
Cuba,2799501
Curaçao,91
Cyprus,656011
Czech Republic,6973727
Denmark,4815162
Djibouti,2399
Dominica,0
Dominican Republic,783757
East Timor,40456
Ecuador,15059296
El Salvador,1232223
Equatorial Guinea,2529
Estonia,866338
Ethiopia,7180904
Faroe Islands,31
Fiji,520594
Finland,4515698
France,54485873
Gabon,621
Georgia,1528580
Ghana,567332
Greece,6741350
Guatemala,7301166
Haiti,1405
Hungary,6278229
Iceland,304895
India,980066849
Indonesia,188810480
Iran,29478405
Iraq,4228960
Ireland,4090769
Israel,6713197
Italy,48863416
Ivory Coast,5886281
Jamaica,550503
Japan,103731463
Jordan,2050443
Kazakhstan,2156878
Kenya,107472
Kuwait,3252400
Laos,4327508
Latvia,1345926
Lebanon,108217
Libya,1612809
Liechtenstein,26497
Lithuania,1949800
Luxembourg,481210
Macedonia,77574
Madagascar,143715
Malawi,3696
Malaysia,27880068
Maldives,397468
Malta,465035
Marshall Islands,181
Mauritania,20236
Mexico,88299277
Moldova,1077224
Mongolia,2059104
Morocco,20935037
Mozambique,4032417
Myanmar,11660635
Namibia,337038
Nepal,21454771
Netherlands,12729836
New Zealand,2608359
Norway,4341744
Pakistan,138709293
Palestine,0
Panama,3341925
Paraguay,3858837
Philippines,70173137
Poland,21968877
Portugal,9726423
Qatar,760836
Russia,32037749
Rwanda,7302711
Saint Kitts and Nevis,1189
Saint Lucia,115
Saint Vincent and the Grenadines,2899
Saudi Arabia,10066582
Senegal,1457116
Serbia,3346655
Sierra Leone,10673
Singapore,159791
Slovakia,2793126
Slovenia,1362415
South Africa,21368042
South Korea,45035806
South Sudan,27068
Sri Lanka,17072957
Suriname,83795
Sweden,7822650
Switzerland,6039339
Taiwan,17781348
Thailand,56551310
Togo,1558542
Trinidad and Tobago,721409
Tunisia,1791797
Turkey,54775863
Uganda,10420713
Ukraine,10943792
United Arab Emirates,9154521
United Kingdom,51120877
United States of America,259495882
Uruguay,2977977
Vietnam,44100602
Zambia,2821304
Zimbabwe,4300402
