Country_name,Density (per km²),Country_name,date,Total_new_deceased
Bangladesh,1160.035,Finland,2022-01-03,23
Bangladesh,1160.035,Finland,2022-01-25,21
Bangladesh,1160.035,Finland,2022-01-26,21
Bangladesh,1160.035,Finland,2022-01-30,26
Bangladesh,1160.035,Finland,2022-02-01,29
Bangladesh,1160.035,Finland,2022-02-02,23
Bangladesh,1160.035,Finland,2022-02-04,22
Bangladesh,1160.035,Finland,2022-02-09,23
Bangladesh,1160.035,Finland,2022-02-13,22
Bangladesh,1160.035,Finland,2022-02-14,21
Bangladesh,1160.035,Finland,2022-02-16,30
Bangladesh,1160.035,Finland,2022-02-17,26
Bangladesh,1160.035,Finland,2022-02-20,26
Bangladesh,1160.035,Finland,2022-02-21,25
Bangladesh,1160.035,Finland,2022-02-22,26
Bangladesh,1160.035,Finland,2022-02-23,24
Bangladesh,1160.035,Finland,2022-02-28,26
Bangladesh,1160.035,Finland,2022-03-01,25
Bangladesh,1160.035,Finland,2022-03-02,28
Bangladesh,1160.035,Finland,2022-03-06,35
Bangladesh,1160.035,Finland,2022-03-07,40
Bangladesh,1160.035,Finland,2022-03-08,30
Bangladesh,1160.035,Finland,2022-03-09,26
Bangladesh,1160.035,Finland,2022-03-16,26
Bangladesh,1160.035,Finland,2022-03-23,50
Bangladesh,1160.035,Finland,2022-03-29,24
Bangladesh,1160.035,Finland,2022-04-05,34
Bangladesh,1160.035,Finland,2022-04-13,29
Bahrain,1924.4876,Finland,2022-01-03,23
Bahrain,1924.4876,Finland,2022-01-25,21
Bahrain,1924.4876,Finland,2022-01-26,21
Bahrain,1924.4876,Finland,2022-01-30,26
Bahrain,1924.4876,Finland,2022-02-01,29
Bahrain,1924.4876,Finland,2022-02-02,23
Bahrain,1924.4876,Finland,2022-02-04,22
Bahrain,1924.4876,Finland,2022-02-09,23
Bahrain,1924.4876,Finland,2022-02-13,22
Bahrain,1924.4876,Finland,2022-02-14,21
Bahrain,1924.4876,Finland,2022-02-16,30
Bahrain,1924.4876,Finland,2022-02-17,26
Bahrain,1924.4876,Finland,2022-02-20,26
Bahrain,1924.4876,Finland,2022-02-21,25
Bahrain,1924.4876,Finland,2022-02-22,26
Bahrain,1924.4876,Finland,2022-02-23,24
Bahrain,1924.4876,Finland,2022-02-28,26
Bahrain,1924.4876,Finland,2022-03-01,25
Bahrain,1924.4876,Finland,2022-03-02,28
Bahrain,1924.4876,Finland,2022-03-06,35
Bahrain,1924.4876,Finland,2022-03-07,40
Bahrain,1924.4876,Finland,2022-03-08,30
Bahrain,1924.4876,Finland,2022-03-09,26
Bahrain,1924.4876,Finland,2022-03-16,26
Bahrain,1924.4876,Finland,2022-03-23,50
Bahrain,1924.4876,Finland,2022-03-29,24
Bahrain,1924.4876,Finland,2022-04-05,34
Bahrain,1924.4876,Finland,2022-04-13,29
Singapore,8416.4634,Finland,2022-01-03,23
Singapore,8416.4634,Finland,2022-01-25,21
Singapore,8416.4634,Finland,2022-01-26,21
Singapore,8416.4634,Finland,2022-01-30,26
Singapore,8416.4634,Finland,2022-02-01,29
Singapore,8416.4634,Finland,2022-02-02,23
Singapore,8416.4634,Finland,2022-02-04,22
Singapore,8416.4634,Finland,2022-02-09,23
Singapore,8416.4634,Finland,2022-02-13,22
Singapore,8416.4634,Finland,2022-02-14,21
Singapore,8416.4634,Finland,2022-02-16,30
Singapore,8416.4634,Finland,2022-02-17,26
Singapore,8416.4634,Finland,2022-02-20,26
Singapore,8416.4634,Finland,2022-02-21,25
Singapore,8416.4634,Finland,2022-02-22,26
Singapore,8416.4634,Finland,2022-02-23,24
Singapore,8416.4634,Finland,2022-02-28,26
Singapore,8416.4634,Finland,2022-03-01,25
Singapore,8416.4634,Finland,2022-03-02,28
Singapore,8416.4634,Finland,2022-03-06,35
Singapore,8416.4634,Finland,2022-03-07,40
Singapore,8416.4634,Finland,2022-03-08,30
Singapore,8416.4634,Finland,2022-03-09,26
Singapore,8416.4634,Finland,2022-03-16,26
Singapore,8416.4634,Finland,2022-03-23,50
Singapore,8416.4634,Finland,2022-03-29,24
Singapore,8416.4634,Finland,2022-04-05,34
Singapore,8416.4634,Finland,2022-04-13,29
Bermuda,1188.5926,Finland,2022-01-03,23
Bermuda,1188.5926,Finland,2022-01-25,21
Bermuda,1188.5926,Finland,2022-01-26,21
Bermuda,1188.5926,Finland,2022-01-30,26
Bermuda,1188.5926,Finland,2022-02-01,29
Bermuda,1188.5926,Finland,2022-02-02,23
Bermuda,1188.5926,Finland,2022-02-04,22
Bermuda,1188.5926,Finland,2022-02-09,23
Bermuda,1188.5926,Finland,2022-02-13,22
Bermuda,1188.5926,Finland,2022-02-14,21
Bermuda,1188.5926,Finland,2022-02-16,30
Bermuda,1188.5926,Finland,2022-02-17,26
Bermuda,1188.5926,Finland,2022-02-20,26
Bermuda,1188.5926,Finland,2022-02-21,25
Bermuda,1188.5926,Finland,2022-02-22,26
Bermuda,1188.5926,Finland,2022-02-23,24
Bermuda,1188.5926,Finland,2022-02-28,26
Bermuda,1188.5926,Finland,2022-03-01,25
Bermuda,1188.5926,Finland,2022-03-02,28
Bermuda,1188.5926,Finland,2022-03-06,35
Bermuda,1188.5926,Finland,2022-03-07,40
Bermuda,1188.5926,Finland,2022-03-08,30
Bermuda,1188.5926,Finland,2022-03-09,26
Bermuda,1188.5926,Finland,2022-03-16,26
Bermuda,1188.5926,Finland,2022-03-23,50
Bermuda,1188.5926,Finland,2022-03-29,24
Bermuda,1188.5926,Finland,2022-04-05,34
Bermuda,1188.5926,Finland,2022-04-13,29
Maldives,1745.9567,Finland,2022-01-03,23
Maldives,1745.9567,Finland,2022-01-25,21
Maldives,1745.9567,Finland,2022-01-26,21
Maldives,1745.9567,Finland,2022-01-30,26
Maldives,1745.9567,Finland,2022-02-01,29
Maldives,1745.9567,Finland,2022-02-02,23
Maldives,1745.9567,Finland,2022-02-04,22
Maldives,1745.9567,Finland,2022-02-09,23
Maldives,1745.9567,Finland,2022-02-13,22
Maldives,1745.9567,Finland,2022-02-14,21
Maldives,1745.9567,Finland,2022-02-16,30
Maldives,1745.9567,Finland,2022-02-17,26
Maldives,1745.9567,Finland,2022-02-20,26
Maldives,1745.9567,Finland,2022-02-21,25
Maldives,1745.9567,Finland,2022-02-22,26
Maldives,1745.9567,Finland,2022-02-23,24
Maldives,1745.9567,Finland,2022-02-28,26
Maldives,1745.9567,Finland,2022-03-01,25
Maldives,1745.9567,Finland,2022-03-02,28
Maldives,1745.9567,Finland,2022-03-06,35
Maldives,1745.9567,Finland,2022-03-07,40
Maldives,1745.9567,Finland,2022-03-08,30
Maldives,1745.9567,Finland,2022-03-09,26
Maldives,1745.9567,Finland,2022-03-16,26
Maldives,1745.9567,Finland,2022-03-23,50
Maldives,1745.9567,Finland,2022-03-29,24
Maldives,1745.9567,Finland,2022-04-05,34
Maldives,1745.9567,Finland,2022-04-13,29
Malta,1687.6139,Finland,2022-01-03,23
Malta,1687.6139,Finland,2022-01-25,21
Malta,1687.6139,Finland,2022-01-26,21
Malta,1687.6139,Finland,2022-01-30,26
Malta,1687.6139,Finland,2022-02-01,29
Malta,1687.6139,Finland,2022-02-02,23
Malta,1687.6139,Finland,2022-02-04,22
Malta,1687.6139,Finland,2022-02-09,23
Malta,1687.6139,Finland,2022-02-13,22
Malta,1687.6139,Finland,2022-02-14,21
Malta,1687.6139,Finland,2022-02-16,30
Malta,1687.6139,Finland,2022-02-17,26
Malta,1687.6139,Finland,2022-02-20,26
Malta,1687.6139,Finland,2022-02-21,25
Malta,1687.6139,Finland,2022-02-22,26
Malta,1687.6139,Finland,2022-02-23,24
Malta,1687.6139,Finland,2022-02-28,26
Malta,1687.6139,Finland,2022-03-01,25
Malta,1687.6139,Finland,2022-03-02,28
Malta,1687.6139,Finland,2022-03-06,35
Malta,1687.6139,Finland,2022-03-07,40
Malta,1687.6139,Finland,2022-03-08,30
Malta,1687.6139,Finland,2022-03-09,26
Malta,1687.6139,Finland,2022-03-16,26
Malta,1687.6139,Finland,2022-03-23,50
Malta,1687.6139,Finland,2022-03-29,24
Malta,1687.6139,Finland,2022-04-05,34
Malta,1687.6139,Finland,2022-04-13,29
