Country_name,date,Total_new_vaccinations
Latvia,2020-12-07,1
Norway,2020-12-08,5
Latvia,2020-12-09,1
Norway,2020-12-09,1
Norway,2020-12-10,1
Norway,2020-12-11,4
Denmark,2020-12-11,1
Norway,2020-12-12,1
United States of America,2020-12-13,30635
United States of America,2020-12-14,4534
Latvia,2020-12-15,1
Norway,2020-12-15,2
United States of America,2020-12-15,45854
Canada,2020-12-15,721
Denmark,2020-12-15,1
Latvia,2020-12-16,1
Norway,2020-12-16,5
United States of America,2020-12-16,154789
Canada,2020-12-16,2301
Denmark,2020-12-16,1
Latvia,2020-12-17,1
Norway,2020-12-17,9
United States of America,2020-12-17,266820
Canada,2020-12-17,4255
Denmark,2020-12-17,1
Latvia,2020-12-18,4
Norway,2020-12-18,15
United States of America,2020-12-18,409914
Canada,2020-12-18,4015
Denmark,2020-12-18,1
Norway,2020-12-19,5
United States of America,2020-12-19,178837
Canada,2020-12-19,1077
Denmark,2020-12-19,1
Latvia,2020-12-20,4
Norway,2020-12-20,7
United States of America,2020-12-20,104001
Canada,2020-12-20,862
Denmark,2020-12-20,2
Israel,2020-12-20,7393
Latvia,2020-12-21,4
Norway,2020-12-21,14
Switzerland,2020-12-21,1
United States of America,2020-12-21,377814
Canada,2020-12-21,7849
Denmark,2020-12-21,3
Israel,2020-12-21,24922
Latvia,2020-12-22,5
Norway,2020-12-22,15
Switzerland,2020-12-22,2
United States of America,2020-12-22,440536
Canada,2020-12-22,5791
Denmark,2020-12-22,5
Israel,2020-12-22,44662
Russia,2020-12-22,23500
Latvia,2020-12-23,4
Norway,2020-12-23,17
Switzerland,2020-12-23,404
United States of America,2020-12-23,563027
Canada,2020-12-23,8693
Denmark,2020-12-23,5
Israel,2020-12-23,62914
Latvia,2020-12-24,3
Bahrain,2020-12-24,11106
Norway,2020-12-24,13
Switzerland,2020-12-24,264
United States of America,2020-12-24,191839
Canada,2020-12-24,10203
Denmark,2020-12-24,4
Israel,2020-12-24,73423
Bahrain,2020-12-25,472
Switzerland,2020-12-25,1
United States of America,2020-12-25,12527
Canada,2020-12-25,3053
Israel,2020-12-25,38512
Chile,2020-12-25,4779
Latvia,2020-12-26,3
Bahrain,2020-12-26,1013
Norway,2020-12-26,8
Switzerland,2020-12-26,435
United States of America,2020-12-26,138569
Canada,2020-12-26,33809
Denmark,2020-12-26,5
Israel,2020-12-26,32617
Chile,2020-12-26,3140
Latvia,2020-12-27,5
Mexico,2020-12-27,3900
France,2020-12-27,609
Bahrain,2020-12-27,2058
Norway,2020-12-27,17
Czech Republic,2020-12-27,1286
United States of America,2020-12-27,93203
Canada,2020-12-27,3612
Denmark,2020-12-27,5499
Israel,2020-12-27,104562
Italy,2020-12-27,7333
Chile,2020-12-27,309
Latvia,2020-12-28,609
Mexico,2020-12-28,2755
France,2020-12-28,683
Lithuania,2020-12-28,2797
Luxembourg,2020-12-28,452
Austria,2020-12-28,1335
Belgium,2020-12-28,340
Bahrain,2020-12-28,1400
Norway,2020-12-28,627
Slovenia,2020-12-28,1686
Switzerland,2020-12-28,1597
Czech Republic,2020-12-28,2303
United States of America,2020-12-28,579306
Canada,2020-12-28,6626
Denmark,2020-12-28,1862
Israel,2020-12-28,135019
Estonia,2020-12-28,318
Italy,2020-12-28,1503
Latvia,2020-12-29,879
Mexico,2020-12-29,8950
Greece,2020-12-29,630
France,2020-12-29,384
Lithuania,2020-12-29,2980
Luxembourg,2020-12-29,348
Austria,2020-12-29,1676
Belgium,2020-12-29,29
Bahrain,2020-12-29,1027
Norway,2020-12-29,1092
Slovenia,2020-12-29,1326
Switzerland,2020-12-29,1664
Argentina,2020-12-29,8793
Czech Republic,2020-12-29,3470
United States of America,2020-12-29,705355
Canada,2020-12-29,13012
Denmark,2020-12-29,7873
Israel,2020-12-29,156310
Estonia,2020-12-29,367
Ireland,2020-12-29,78
Italy,2020-12-29,1098
Latvia,2020-12-30,801
Mexico,2020-12-30,6469
Greece,2020-12-30,645
France,2020-12-30,443
Lithuania,2020-12-30,1531
Luxembourg,2020-12-30,451
Austria,2020-12-30,1402
Belgium,2020-12-30,522
Bahrain,2020-12-30,1276
Norway,2020-12-30,472
Slovenia,2020-12-30,422
Switzerland,2020-12-30,1659
Argentina,2020-12-30,8774
Czech Republic,2020-12-30,3515
United States of America,2020-12-30,824358
Canada,2020-12-30,8549
Denmark,2020-12-30,10115
Israel,2020-12-30,153161
Estonia,2020-12-30,1013
Bulgaria,2020-12-30,2889
Ireland,2020-12-30,1060
Italy,2020-12-30,4881
Latvia,2020-12-31,7
Greece,2020-12-31,617
France,2020-12-31,440
Lithuania,2020-12-31,30
Austria,2020-12-31,18
Belgium,2020-12-31,48
Bahrain,2020-12-31,1326
Norway,2020-12-31,91
Slovenia,2020-12-31,1857
Switzerland,2020-12-31,252
Argentina,2020-12-31,1230
Czech Republic,2020-12-31,1313
United States of America,2020-12-31,412646
Canada,2020-12-31,15529
Denmark,2020-12-31,5176
Israel,2020-12-31,158563
Estonia,2020-12-31,586
Ireland,2020-12-31,1035
Italy,2020-12-31,25905
Latvia,2021-01-01,6
Greece,2021-01-01,264
France,2021-01-01,1158
Austria,2021-01-01,12
Belgium,2021-01-01,17
Bahrain,2021-01-01,708
Norway,2021-01-01,27
Slovenia,2021-01-01,151
Switzerland,2021-01-01,7
Argentina,2021-01-01,45
Czech Republic,2021-01-01,271
United States of America,2021-01-01,109785
Canada,2021-01-01,9290
Denmark,2021-01-01,1961
Israel,2021-01-01,71424
Bulgaria,2021-01-01,131
Ireland,2021-01-01,816
Italy,2021-01-01,11256
Latvia,2021-01-02,2
Greece,2021-01-02,546
France,2021-01-02,363
Austria,2021-01-02,23
Belgium,2021-01-02,13
Bahrain,2021-01-02,746
Norway,2021-01-02,18
Slovenia,2021-01-02,404
Switzerland,2021-01-02,4
Argentina,2021-01-02,1484
Czech Republic,2021-01-02,1287
United States of America,2021-01-02,256467
Canada,2021-01-02,36345
Denmark,2021-01-02,7357
Israel,2021-01-02,71735
Estonia,2021-01-02,30
Ireland,2021-01-02,1017
Italy,2021-01-02,38997
Latvia,2021-01-03,4
Costa Rica,2021-01-03,2400
Greece,2021-01-03,720
France,2021-01-03,404
Austria,2021-01-03,11
