Country_name,New_persons_fully_vaccinated
United States of America,2020-12-14
Switzerland,2020-12-21
France,2020-12-27
Estonia,2020-12-28
Belgium,2020-12-29
Argentina,2020-12-29
Czech Republic,2020-12-29
Canada,2020-12-29
Israel,2020-12-29
Ireland,2020-12-29
Latvia,2020-12-30
Slovenia,2021-01-06
Norway,2021-01-07
Denmark,2021-01-08
Portugal,2021-01-08
United Kingdom,2021-01-11
Chile,2021-01-14
Mexico,2021-01-16
Austria,2021-01-16
Brazil,2021-01-17
Italy,2021-01-17
Costa Rica,2021-01-18
Greece,2021-01-18
Slovakia,2021-01-18
Lithuania,2021-01-18
Luxembourg,2021-01-19
Bulgaria,2021-01-19
Hungary,2021-01-19
Sweden,2021-01-24
Finland,2021-01-24
Iceland,2021-01-25
Malta,2021-01-25
Poland,2021-01-27
Cyprus,2021-01-30
Croatia,2021-02-01
Liechtenstein,2021-02-01
Ecuador,2021-02-04
Netherlands,2021-02-05
Albania,2021-02-09
Serbia,2021-02-12
Turkey,2021-02-13
India,2021-02-15
South Africa,2021-02-19
Panama,2021-02-19
Morocco,2021-02-20
Bolivia,2021-02-22
United Arab Emirates,2021-02-23
Malaysia,2021-02-24
South Korea,2021-02-27
Paraguay,2021-03-03
Russia,2021-03-03
New Zealand,2021-03-05
Bahrain,2021-03-07
Japan,2021-03-11
Colombia,2021-03-14
Indonesia,2021-03-15
Jordan,2021-03-15
Kazakhstan,2021-03-15
Australia,2021-03-18
Zimbabwe,2021-03-23
Ukraine,2021-03-29
Guatemala,2021-03-29
Uruguay,2021-03-30
Thailand,2021-03-30
Maldives,2021-04-04
Philippines,2021-04-05
Tunisia,2021-04-08
Bangladesh,2021-04-10
El Salvador,2021-04-14
Moldova,2021-04-16
Namibia,2021-04-20
Georgia,2021-04-27
Dominican Republic,2021-04-27
Mongolia,2021-04-27
Azerbaijan,2021-04-28
Marshall Islands,2021-04-29
Sri Lanka,2021-04-30
Trinidad and Tobago,2021-05-05
Myanmar,2021-05-13
Pakistan,2021-05-13
Suriname,2021-05-13
Lebanon,2021-05-16
Laos,2021-05-17
Mozambique,2021-05-18
Nepal,2021-05-18
Cape Verde,2021-05-18
Bosnia and Herzegovina,2021-05-19
Zambia,2021-05-22
Uganda,2021-05-23
Senegal,2021-05-24
Cambodia,2021-05-25
Cuba,2021-06-01
Macedonia,2021-06-05
Rwanda,2021-06-06
Fiji,2021-06-08
Togo,2021-06-08
Iraq,2021-06-20
Taiwan,2021-06-21
Belize,2021-06-23
Jamaica,2021-06-25
Malawi,2021-06-25
Armenia,2021-06-27
Saudi Arabia,2021-06-28
Aruba,2021-06-28
Kuwait,2021-07-03
Ghana,2021-07-05
East Timor,2021-07-13
Saint Kitts and Nevis,2021-07-13
Qatar,2021-07-14
Equatorial Guinea,2021-08-07
Belarus,2021-08-10
Iran,2021-08-24
Libya,2021-09-01
Bhutan,2021-09-05
Vietnam,2021-09-14
Gabon,2021-09-22
Bahamas,2021-09-24
Ivory Coast,2021-10-06
Saint Vincent and the Grenadines,2021-11-02
Singapore,2022-01-17
Faroe Islands,2022-01-20
Mauritania,2022-01-24
Kenya,2022-01-24
South Sudan,2022-01-31
Djibouti,2022-02-26
Barbados,2022-03-01
Burkina Faso,2022-03-06
Haiti,2022-03-09
Saint Lucia,2022-03-11
Curaçao,2022-04-07
Bermuda,2022-05-20
