Country_name,date,Total_new_deceased
Mexico,2021-01-08,1197
Mexico,2021-01-16,1294
United Kingdom,2021-01-13,1219
Mexico,2021-01-17,1402
Mexico,2021-01-25,1478
Mexico,2021-01-19,1447
Mexico,2021-01-23,1354
Mexico,2021-01-22,1395
Mexico,2021-02-03,1172
Mexico,2021-01-29,1247
Mexico,2021-02-06,1050
Mexico,2021-01-28,1249
Mexico,2021-01-11,1315
United Kingdom,2021-01-14,1233
Mexico,2021-01-14,1271
Mexico,2021-01-07,1064
Mexico,2021-01-24,1423
Mexico,2021-01-27,1325
Mexico,2021-01-12,1238
United Kingdom,2021-01-20,1302
Mexico,2021-01-21,1435
United Kingdom,2021-01-28,1112
Mexico,2021-01-04,1112
United Kingdom,2021-01-15,1229
United Kingdom,2021-01-17,1272
Mexico,2021-01-18,1409
United Kingdom,2021-01-25,1171
United Kingdom,2021-01-29,1071
United Kingdom,2021-01-22,1247
Mexico,2021-01-13,1247
Mexico,2021-02-01,1296
Mexico,2021-02-02,1264
Mexico,2021-01-06,1160
United Kingdom,2021-01-23,1176
United Kingdom,2021-01-18,1301
United Kingdom,2021-01-12,1213
Mexico,2021-01-05,1069
United Kingdom,2021-01-21,1240
Mexico,2021-02-04,1091
Mexico,2021-01-20,1495
Mexico,2021-01-31,1181
United Kingdom,2021-01-11,1132
Mexico,2021-01-10,1215
United Kingdom,2021-01-24,1159
Mexico,2021-01-09,1143
United Kingdom,2021-01-26,1068
United Kingdom,2021-01-16,1311
Mexico,2021-01-26,1419
Mexico,2021-01-15,1316
Mexico,2021-02-05,1049
Mexico,2021-02-08,1072
United Kingdom,2021-01-27,1117
Mexico,2021-01-30,1239
United Kingdom,2021-01-19,1370
Ecuador,2021-07-19,8786
Indonesia,2021-07-29,1893
Indonesia,2021-07-30,1759
Indonesia,2021-08-01,1604
Indonesia,2021-07-27,2069
Indonesia,2021-08-06,1635
Indonesia,2021-07-28,1824
Indonesia,2021-08-04,1747
Indonesia,2021-07-22,1449
Indonesia,2021-08-21,1361
Indonesia,2021-08-05,1739
Indonesia,2021-08-18,1128
