Country_name,days_with_more_than_100000_tests
Argentina,25
Australia,271
Austria,508
Belgium,38
Brazil,259
Canada,196
Chile,28
Colombia,22
Cyprus,19
Czech Republic,24
Denmark,259
France,480
Greece,125
Hungary,7
India,489
Indonesia,247
Iran,17
Israel,125
Italy,597
Japan,162
Kazakhstan,1
Malaysia,250
Mexico,6
Mongolia,1
Netherlands,3
Pakistan,1
Poland,61
Portugal,9
Russia,122
Saudi Arabia,61
Singapore,49
Slovakia,115
Slovenia,33
South Africa,1
South Korea,295
Switzerland,13
Taiwan,7
Turkey,460
Ukraine,2
United Arab Emirates,371
United Kingdom,494
United States of America,552
Vietnam,83
