date,global_fully_vaccinated
2021-06-22,6257511
2021-08-27,12374078
2021-01-27,942969
2021-10-11,7787152
2021-11-13,8025234
2021-12-18,7296628
2022-03-28,959673
2022-07-31,2993
2021-10-02,8260678
2021-11-25,6831183
2022-07-27,3736
2022-08-02,118507
2022-01-31,7691181
2022-05-19,1388623
2022-01-29,4445813
2021-04-29,5910007
2021-05-12,5490051
2021-07-20,6118180
2021-07-30,9173202
2021-09-14,8736544
2022-05-26,1395308
2022-06-18,1142106
2022-06-22,212745
2022-03-16,2740099
2021-07-17,9250896
2020-12-18,1262
2022-06-06,543900
2021-04-24,3963014
2021-07-23,8428486
2021-09-11,11827901
2021-12-05,9275490
2022-03-12,2279492
2021-02-15,1124335
2022-03-15,2716923
2022-04-02,298467
2022-04-10,4752900
2021-10-08,11956462
2020-12-17,789
2021-03-22,2049412
2021-05-03,5108733
2021-08-21,7108275
2022-02-25,1530697
2021-01-18,372890
2021-01-25,742130
2021-07-19,7867712
2022-02-16,4302853
2021-02-02,1009468
2022-08-11,2293
2022-08-20,70571
2021-07-10,9953181
2022-05-01,1754563
2021-04-25,4949106
2021-06-04,5632432
2021-09-25,7249802
2021-11-11,10591678
2021-03-07,627770
2021-09-05,9360279
2022-01-15,6402881
2021-07-13,7657048
2022-01-09,6876472
2022-04-27,1745570
2021-11-01,7440215
2022-03-22,1136393
2022-05-07,1612991
2022-09-06,1208
2022-09-07,79195
2022-02-01,7864868
2021-05-29,3705289
2021-09-09,12699390
2022-05-23,807178
2022-07-05,7866
2022-08-15,8255
2021-07-11,4981921
2021-05-07,7090094
2022-04-12,1558979
2020-12-22,2992
2020-12-30,8043
2021-04-21,5060103
2022-06-02,645780
2022-01-18,3619829
2021-09-06,7018223
2021-11-17,8631089
2022-06-05,829789
2021-06-20,3872444
2021-06-27,4906498
2021-12-14,10819177
2022-08-03,109184
2021-12-27,5220282
2021-07-08,9923645
2021-08-25,9994940
2021-11-23,8181793
2022-03-19,1084928
2021-06-28,6082916
2021-02-26,2525077
2022-08-07,1312
2021-09-26,6392824
2022-01-10,19714440
2021-09-13,9223336
2022-04-18,2587183
2022-05-24,1175743
2022-07-15,94421
2022-08-08,11549
2021-06-01,5237201
2021-04-07,4095903
2022-06-29,172873
2022-07-29,103143
2022-01-08,3443588
2021-08-23,6970690
2021-05-21,4438286
2021-04-15,4918456
2022-04-09,1265417
2021-12-10,6812167
2022-01-24,4363937
2022-04-06,1513346
2022-06-28,191588
2022-04-21,485674
2022-05-06,1647484
2022-06-19,928309
2022-07-24,6449
2021-10-20,12767505
2022-01-23,4829078
2021-12-12,5075393
2021-09-30,8617810
2021-12-04,10775320
2022-08-14,1483
2021-05-09,2997332
2021-06-17,7065766
2020-12-23,3183
2021-11-16,7817358
2021-12-08,11628500
2021-08-12,8494440
2020-12-21,1579
2022-02-15,7239894
2021-05-31,2892964
2021-01-05,88203
2022-03-11,3427241
2022-07-10,3135
2022-07-16,94111
2022-08-12,4026
2021-08-24,11556482
2022-01-16,5560367
2021-04-23,5117430
2021-02-21,704665
2021-06-13,3516691
2020-12-09,0
2021-05-18,4998965
2021-07-03,10966185
2022-07-01,154842
2022-02-12,3786046
2022-02-22,5861290
2021-04-26,4850977
2021-09-10,9792325
2022-07-14,81265
2021-05-10,5047546
2021-05-28,5348991
2021-11-05,6176568
2022-07-13,78528
2021-08-01,5997935
2021-12-01,11173406
2021-02-05,1393792
2021-03-21,1497821
2020-12-16,488
2022-03-26,1962663
2022-05-02,710554
2022-02-28,10863515
2021-09-16,9990744
2022-08-05,99402
2021-02-10,1449400
2021-01-19,529514
2022-08-10,150796
