year,month,monthly_confirmed_cases
2020,2,2
2020,3,10220
2020,4,81909
2020,5,429295
2020,6,888503
2020,7,1269888
2020,8,1255338
2020,9,904111
2020,10,725208
2020,11,800592
2020,12,5631207
2021,1,11460510
2021,2,7178434
2021,3,10931515
2021,4,17498870
2021,5,15854882
2021,6,9548512
2021,7,11033005
2021,8,14249986
2021,9,11128305
2021,10,8293419
2021,11,10432300
2021,12,19217113
2022,1,67509820
2022,2,34422939
2022,3,30623541
2022,4,16031466
2022,5,10359362
2022,6,7084210
2022,7,4479799
2022,8,1985768
2022,9,514712
